date,deaths,str,end
8/19/2019,1,0,1
8/20/2019,1,1,2
8/21/2019,1,2,3
8/22/2019,0,0,0
8/23/2019,1,3,4
8/24/2019,1,4,5
8/25/2019,0,0,0
8/26/2019,1,5,6
8/27/2019,1,6,7
8/28/2019,1,7,8
8/29/2019,1,8,9
8/30/2019,8,9,17
8/31/2019,56,17,73
9/1/2019,143,70,216
9/2/2019,116,216,332
9/3/2019,54,332,386
9/4/2019,46,386,432
9/5/2019,36,432,468
9/6/2019,20,468,488
9/7/2019,28,488,516
9/8/2019,12,516,528
9/9/2019,11,528,539
9/10/2019,5,539,544
9/11/2019,5,544,549
9/12/2019,1,549,550
9/13/2019,3,550,553
9/14/2019,0,0,0
9/15/2019,1,553,554
9/16/2019,4,554,558
9/17/2019,2,558,560
9/18/2019,3,560,563
9/19/2019,0,0,0
9/20/2019,0,0,0
9/21/2019,2,563,565
9/22/2019,1,565,566
9/23/2019,1,566,567
9/24/2019,1,567,568
9/25/2019,1,568,569
9/26/2019,1,569,570
9/27/2019,1,570,571
9/28/2019,0,0,0
9/29/2019,0,0,0
